M,kappa_raw,log10_kappa_raw,kappa_algebraic,log_M
50,4.5375702949968952e+25,2.5656823366086655e+01,7.0710678118654764e+00,3.9120230054281460e+00
100,1.9680629730482740e+38,3.8294038990645028e+01,1.0000000000000002e+01,4.6051701859880918e+00
150,6.9386859936230742e+47,4.7841277234179657e+01,1.2206555615733704e+01,5.0106352940962555e+00
200,1.6908538510272095e+56,5.6228106070971229e+01,1.4142135623730953e+01,5.2983173665480363e+00
300,5.8318712670352066e+69,6.9765807928781570e+01,1.7262676501632068e+01,5.7037824746562009e+00
400,4.4983404154513546e+81,8.1653052317919972e+01,2.0000000000000004e+01,5.9914645471079817e+00
600,6.8253030494189855e+100,1.0083412193919536e+02,2.4413111231467408e+01,6.3969296552161463e+00
800,4.6957122566494783e+117,1.1767170147640437e+02,2.8284271247461906e+01,6.6846117276679271e+00
