M,n_modes,n_pts,amp_ratio,kappa_diag_proxy,kappa_raw_stable,kappa_direct,kappa_VD_inv,kappa_col_norm,kappa_amp_row,kappa_equilibrated,kappa_precond,log_M,log_kappa_raw,log_kappa_precond,kappa_raw_stable_2cusp,kappa_VD_inv_2cusp,kappa_precond_2cusp,seconds,Y0,r
100,316,484,1.4028766777761593e+19,1.9680629730482744e+38,1.7165868892838227e+21,inf,1.2236192364427619e+02,4.7815781053639405e+01,8.1980767148328070e+01,4.2102247634204488e+01,4.2102247634204488e+01,4.6051701859880918e+00,4.8894624905540773e+01,3.7401011272491029e+00,2.0980506424580118e+21,1.4955346223189358e+02,5.1458302664027670e+01,3.344552,0.8,6.62212
200,632,900,1.3003283627711923e+28,1.6908538510272097e+56,2.2956581064675715e+30,inf,1.7654449231386326e+02,6.8126866980147938e+01,1.2374765688558379e+02,6.2872195632363621e+01,6.2872195632363621e+01,5.2983173665480363e+00,6.9908572348857803e+01,4.1411040251566220e+00,2.8058043523492621e+30,2.1577660171694461e+02,7.6843794661777736e+01,21.093430,0.8,6.62212
400,1256,1764,6.7069668371413272e+40,4.4983404154513546e+81,1.7412448776957089e+43,inf,2.5961733820617337e+02,9.9613788179772669e+01,1.9037252401672831e+02,9.6902166317352524e+01,9.6902166317352524e+01,5.9914645471079817e+00,9.9565759303111790e+01,4.5737018748630520e+00,2.1281881838503112e+43,3.1731008002976751e+02,1.1843598105454198e+02,26.038932,0.8,6.62212
800,2520,3364,6.8525267286231568e+58,4.6957122566494788e+117,2.6921816779733171e+61,inf,3.9287430528771444e+02,1.5490764928905867e+02,3.0434263200870356e+02,1.5481917734588765e+02,1.5481917734588765e+02,6.6846117276679271e+00,1.4144804257024506e+02,5.0422578381459129e+00,3.2904442730784989e+61,4.8017970646276211e+02,1.8922343897830714e+02,142.031574,0.8,6.62212
