M,r,Y0,n_pts,n_modes,sigma_min,rel,kappa_eq,tau_svd,tau_disc,delta_proxy,tau_proxy,eta_proxy,seconds
100,6.0,0.8,484,316,0.634676990160356,0.023751701065659624,42.10224763420449,0.634676990160356,1.869293878744252e-21,0.023751701065659624,0.14447595727303864,0.16822765833869827,0.8619358539581299
200,6.0,0.8,900,632,0.5970302250878411,0.015905281976270724,62.87219563236362,0.5970302250878411,3.0885979558116796e-30,0.015905281976270724,0.09674805323908717,0.11265333521535789,2.684448480606079
400,6.0,0.8,1764,1256,0.5641931165463796,0.010319686731512496,96.90216631735252,0.5641931165463796,1.083882185694808e-42,0.010319686731512496,0.06277220377485991,0.07309189050637241,18.51675534248352
800,6.0,0.8,3364,2520,0.5092435136010841,0.006459148131021653,154.81917734588765,0.5092435136010841,1.956767192380538e-60,0.006459148131021653,0.03928946422902429,0.045748612360045945,137.88680505752563
